#            time           growth        frequency       diff(grow)       diff(freq)         1-Ineq.
    1.1453723e-01   -1.5595186e-01   -6.2705251e-01    1.0000000e+00    1.0000000e+00    2.0519423e-02
    2.0616702e-01   -2.9012433e-01   -6.1083833e-01    4.6246544e-01    2.6544154e-02    1.5567297e-02
    3.2070425e-01   -3.9938879e-01   -5.8199635e-01    2.7357919e-01    4.9556976e-02    2.6702294e-02
    4.1233404e-01   -4.0629169e-01   -5.4810510e-01    1.6990008e-02    6.1833488e-02    1.7653210e-02
    5.0396382e-01   -3.9859610e-01   -5.1536336e-01    1.9306739e-02    6.3531356e-02    1.7117454e-02
    6.1850105e-01   -3.8940805e-01   -4.7912111e-01    2.3594913e-02    7.5643199e-02    2.4620159e-02
    7.1013084e-01   -3.2656723e-01   -4.4435639e-01    1.9242844e-01    7.8236129e-02    1.4293865e-02
    8.0176063e-01   -2.8713002e-01   -4.1719857e-01    1.3734965e-01    6.5095654e-02    1.2861755e-02
    9.1629786e-01   -2.5912078e-01   -3.9217066e-01    1.0809338e-01    6.3818923e-02    1.7640216e-02
    1.0079276e+00   -2.0295299e-01   -3.7031027e-01    2.7675274e-01    5.9032643e-02    9.9885175e-03
    1.1224649e+00   -1.7774419e-01   -3.5525251e-01    1.4182626e-01    4.2386087e-02    1.3690686e-02
    1.2140947e+00   -1.3220686e-01   -3.4255427e-01    3.4444005e-01    3.7069269e-02    7.7589042e-03
    1.3057244e+00   -1.0554961e-01   -3.3533433e-01    2.5255660e-01    2.1530566e-02    6.9389880e-03
    1.4202617e+00   -8.7563156e-02   -3.3113567e-01    2.0541118e-01    1.2679585e-02    9.5132798e-03
    1.5118915e+00   -5.6921415e-02   -3.2796858e-01    5.3831658e-01    9.6566719e-03    5.3560091e-03
    1.6035213e+00   -4.0711559e-02   -3.2802727e-01    3.9816347e-01    1.7890431e-04    4.7385637e-03
    1.7180585e+00   -3.2296571e-02   -3.3103710e-01    2.6055359e-01    9.0921396e-03    6.3834794e-03
    1.8096883e+00   -1.6983527e-02   -3.3524700e-01    9.0164104e-01    1.2557585e-02    3.5112168e-03
    1.9013181e+00   -1.1709336e-02   -3.4188111e-01    4.5042610e-01    1.9404725e-02    3.0420851e-03
    2.0158553e+00   -1.2323542e-02   -3.5261409e-01    4.9840060e-02    3.0438324e-02    4.0177549e-03
    2.1074851e+00   -7.9760976e-03   -3.6559837e-01    5.4505910e-01    3.5515158e-02    2.1801093e-03
    2.2220223e+00   -1.0376505e-02   -3.8243808e-01    2.3133098e-01    4.4032507e-02    2.8864558e-03
    2.3136521e+00   -7.1051938e-03   -4.0141901e-01    4.6041119e-01    4.7284572e-02    1.5819152e-03
